nom_de_couleur,caldera_cyan,caldera_magenta,caldera_jaune,caldera_noir,deuxCM7_cyan,deuxCM7_magenta,deuxCM7_jaune,deuxCM7_noir
Saumon,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,28.50,18.00,0.00
Super violet,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,78.00,50.00,0.00,0.00
Suède,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,42.00,45.00,72.00,0.00
Taupe,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,4.00,10.00,25.00,29.00
Toundra,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,10.00,0.00,36.00,18.50
Vert de gris,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,36.00,0.00,38.00,45.00
Vert pâle,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,10.00,0.00,29.00,0.00
Wine pâle,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,0.00,73.00,34.00,56.50
rouge spécial,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée,2.00,95.00,70.00,0.00

