nom_de_couleur,caldera_cyan,caldera_magenta,caldera_jaune,caldera_noir,deuxCM7_cyan,deuxCM7_magenta,deuxCM7_jaune,deuxCM7_noir
PANTONE 524 C,6.00,10.00,1.00,0.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
PANTONE 525 C,60.00,88.00,0.00,6.00,60.00,88.00,0.00,6.00
PANTONE 5255 C,80.00,70.00,40.00,30.00,80.00,70.00,40.00,30.00
PANTONE 526 C,53.00,63.00,0.00,0.00,49.00,63.00,0.00,0.00
PANTONE 526 U,34.00,36.00,0.00,10.00,34.00,36.00,0.00,10.00
PANTONE 5265 C,72.00,54.00,24.00,14.00,72.00,57.00,24.00,17.00
PANTONE 527 C,49.00,59.00,0.00,0.00,52.00,60.00,0.00,0.00
PANTONE 528 C,24.00,30.00,0.00,0.00,19.00,29.00,0.00,0.00
PANTONE 529 C,11.00,15.00,0.00,0.00,6.00,10.00,0.00,0.00
PANTONE 530 C,7.00,11.00,0.00,0.00,4.00,7.00,0.00,0.00
PANTONE 531 C,4.00,9.00,0.00,0.00,2.00,4.00,0.00,0.00
PANTONE 532 C,100.00,32.00,0.00,75.00,57.00,38.00,0.00,70.00
PANTONE 533 C,100.00,27.00,0.00,65.00,95.00,49.00,0.00,53.00
PANTONE 534 C,98.00,24.00,0.00,52.00,100.00,64.00,40.00,0.00
PANTONE 535 C,29.00,16.00,11.00,3.00,29.00,16.00,10.00,0.00
PANTONE 536 C,24.00,10.00,7.00,3.00,24.00,10.00,6.00,0.00
PANTONE 537 C,14.00,6.00,7.00,3.00,14.00,7.00,6.00,0.00
PANTONE 538 C,10.00,5.00,7.00,1.00,10.00,5.00,6.00,0.00
PANTONE 539 C,95.00,49.00,25.00,53.00,95.00,49.00,0.00,53.00
PANTONE 5395 C,80.00,36.90,15.00,58.00,80.00,36.90,0.00,55.40
PANTONE 540 C,96.00,40.00,30.00,0.00,96.00,40.00,30.00,0.00
PANTONE 540 U,66.00,41.00,30.00,0.00,66.00,41.00,30.00,0.00
PANTONE 5405 C,50.00,21.00,18.00,2.00,48.00,6.00,0.00,30.00
PANTONE 541 C,99.00,28.00,20.00,0.00,99.00,28.00,20.00,0.00
PANTONE 541 U,62.00,28.00,14.00,0.00,62.00,28.00,14.00,0.00
PANTONE 5415 C,46.00,21.00,18.00,0.00,52.00,22.00,18.00,0.00
PANTONE 5415 U,22.00,3.00,0.00,26.00,22.00,3.00,0.00,26.00
PANTONE 542 C,32.00,6.00,3.00,0.00,32.00,6.00,3.00,0.00
PANTONE 542 U,39.00,7.00,0.00,10.00,39.00,7.00,0.00,10.00
PANTONE 5425 C,32.00,11.00,10.00,5.00,36.00,12.00,10.00,0.00
PANTONE 543 C,20.00,3.00,4.00,0.00,27.00,4.00,3.00,0.00
PANTONE 5435 C,23.00,8.00,10.00,3.00,20.00,8.00,7.00,0.00
PANTONE 544 C,13.00,1.00,2.00,0.00,8.00,0.60,0.00,0.00
PANTONE 5445 C,14.00,5.00,7.00,3.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
